Ingredient
半夏
菵草
藜芦
凡石
皂角
乌头
白衡
薏苡仁
飞廉
荆实
人参桔梗
乾姜
蜀椒
本
杜衡
白芷
附子
秦椒
款冬花
柏实
肉苁蓉
白薇
防风
桂
木兰
白术
辛荑
天门冬
枸杞
生牛奶子
杏仁
山药
白沙蜜
白茯苓
生地黄
新罗参
草果
小椒
大鲫鱼
獭肝
野猪肉
白羊头
乌驴皮
酥油上件
恶实菜叶
荆芥穗
薄荷叶
白粟米
冬麻子
豉
葛根
生姜
葱白
粳米
羊肚
乌雌鸡
熊肉
狐肉
乌驴肉
胡椒
乌驴头
小麦
马齿菜
陈皮
赤小豆
大鲤鱼
葵菜叶
鸡子黄
白鹁鸽
野鸡
大萝卜
青头鸭
黄雌鸡
葱
肉
乳饼
白面
荜拨
缩砂
大蒜
生地黄汁
桃仁
羊脊骨
鸡头
鸡
莲子
良姜
牛肉
吴茱萸
高良姜
川椒
酸枣仁
羊肉
萝卜
羊骨
醍醐
乌雄鸡
哈昔泥
黑牛髓
鹿角
鹿蹄
鹿肾
羊肾
枸杞叶
猪肾
羊脂
白羊肾
盐
牛酥
羊肝
羊心
羊肺
生姜汁
熟羊髓
熟羊脂
乌鸡
饴糖
麝香
百药煎
龙脑成片者
白茶
上等紫笋
苏门炒米
杏子
松子
赤赤哈纳
白沙糖
新北五味
小石榴
石榴子
大桃
樱桃
金橘
干木瓜
紫苏叶
株子
香圆
木瓜
牛骨头内取油
天门冬膏
地黄膏
黄精膏
龙脑
南硼砂
荜澄茄
白豆蔻仁
白檀
沉香
新橙皮
白纳八
答必纳
渴忒
官桂
系沙糖
菖蒲
人参
绿豆花
葛花
檀香
陈橘皮
香橙皮
甘草
白梅肉
丁香
木香
姜黄
桂花
茴香
川楝子
枣
芝麻
粟米
乾枣
苍术
沙糖
橘皮
北五味
白梅
乌梅
熟蜜
大麦蘖
曲末
赤茯苓
熟水
鸡子
熟羊胸子
羊苦
芫荽末
精羊肉
杏泥
染
胭脂
栀子
打糁
赤根
芫荽
胡萝卜
鸡儿
胡椒末
陈皮末
羊尾子
糟姜
羊腰
羊头
料物
咱夫兰
豆粉
羊肋枝
羊腱子
酥油
面
韭
细料物
兔儿
姜末
鹌鹑
小椒末
肥鸡儿
如回回豆子
头蹄
河西米
粱米
蘑菇
羊舌
瓜齑
羊腰子
羊皮
挂面
羊胸子
台子菜
蓼牙胭脂
韭黄
蔓菁菜
韭菜
黄瓜
蒲笋
藕
野狼肉
大新鲤鱼
羊背皮或羊肉
回回豆子
鹿头蹄
苦豆
沙乞某儿
大麦仁
牛奶子
黑子儿
芫荽叶
醋
苦肠
小油
必思答仁
胡桃仁
八檐仁
松黄
鸡头仁
天花
新韭
嫩茄子
鹿奶肪
羊
水札
雁
香菜
羊血
蓼子
新鲤鱼
羊蹄
䐑儿
芥末
马肚肠
哈夫儿
牛蹄
蒲黄
净羊肉
蜜
猪头
鲤鱼
羊后脚
颇儿必
