Effect
治久痔
治肠风
治大便常有血
治下血不止
治野鸡病
治肛门肿满。
治中风
治头眩
治羸瘦
治手足无力
治手足不遂
治节烦疼
治心燥
治口眼面目斜
治燥热
治口乾
治手足不遂。
治皮肤热疮。
治五脏风热
治语言蹇涩
治大肠滞涩
治言语蹇涩
治精神昏愦
治口面斜。
治心脾风热
治诸中风。
治背强
治舌直不得语
治目睛不转
治烦热
治诸风
治脚气
治痹痛不仁
治五缓筋急
治惊风
治癫痫
治神情恍惚
治言语错谬
治歌笑无度
治风狂
治忧愁不乐
治安心气
治中风头眩。
治筋骨烦痛
治消渴
治头面水肿
治心腹胀满
治小便淋涩
治水肿
治黄胆
治小便癃闭不通
治小便不通
治饮水无度
治小便频数
治舌焦
治消小便数
治十种水病不瘥。
治腹中水癖
治浮气
治腹胀
治小便涩少
痢疾
治脾胃虚弱
治下痢
治赤白泄痢
治泄痢
治肠胃不固
治虚劳
治瘦弱
治骨蒸
治寒热往来
治咳嗽唾血
治心腹痛
治上气咳嗽
治胸膈妨满
治喘急
治湿痹
治腰膝痛
除暴疾
益精气
强心志
耳目聪明
治精气不足
强志
明耳目
治心志不宁
补中强志
聪明耳目
治脾胃久冷，不思饮食。
治心腹冷气冲胁肋痛。
治心腹冷痛
心腹冷气痛
治久患冷气
治心腹结痛
治虚弱骨蒸
治四肢无力
治心烦不得睡卧
治心烦
治久冷
治诸虚
治五劳七伤
治骨髓伤败
治虚弱
去风湿
治劳伤
治心腹邪气
治五藏邪气
治肾虚弱
治骨伤败
治瘦弱无力
治卒患腰痛
治腰脚疼痛
治肾虚衰弱
治腰脚无力
治肾虚
治耳聋
治阳气衰败
治肾虚劳损
治腰膝无力
治疼痛
治阳道衰败
治下元久虚
治腰肾伤败
治腰痛
治咳嗽
治肺痿
治腰背疼痛
治骨髓虚损
治不能久立
治身重气乏
治盗汗
治少食，时复吐利
治卒患腰眼疼痛者。
治心气惊悸，郁结不乐。
治元脏虚冷
治腹内冷痛
治腰脊酸疼
补中益气
补脾胃
补益肾气
益气力
补虚羸
益元气
补益五脏
止渴
安胎
治风痹不仁
治香港脚
主伤中
益气，补不足
性寒
消渴，利水道
顺气
治癃闭不通
补中
健脾胃
壮筋骨
补益
止烦渴
治脚膝疼痛
治腰膝疼痛
脚气不仁
补下元
理腰膝
温中
下气
和脾胃
宽胸膈
温中下气
温壮脾胃
温止烦渴
破冷气
去腹胀
治藏气虚冷
利血脉，益经气
补精髓
和血气
延年益寿
宽中顺气
清利头目
清头目
利咽膈
生津止渴
治嗽
生津
止寒嗽
治酒醉不解
治呕噫吞酸
治脚气不仁
治膝劳冷痹疼痛
治中热
治五心烦躁
治霍乱呕吐
治乾渴
治津液不通
治元藏虚弱
治腹痛
治胸膈闭闷
治脐腹冷痛
进饮食
治脾胃不和
补虚益气
温中润肺
调顺肺气
利胸膈
去一切不正之气
温脾胃
辟瘟疫
除寒湿
开胸膈
止渴生津
生津止渴，暖精益气
解化酒毒
去湿
去烦
去湿逐饮
益气和中
