Food_Name,Effect,Ingredients,Steps
颇儿必汤,即羊辟膝骨。 主男女虚劳，寒中，羸瘦，阴气不足。利血脉，益经气。,颇儿必三四十个，水洗净。,上件，用水一铁络，同熬。四分中熬取一分，澄滤净，去油去滓，再凝定。如欲食，任意多少。
米哈讷关列孙,治五劳七伤，藏气虚冷。常服补中益气。,羊后脚一个 去筋膜，切碎,上件，用净锅内干 熟。令盖封闭，不透气，后用净布绞纽取汁。
