Ingredient_en|category|Ingredient
Mutton|meat|羊肉
sour jujubes|chinese_medicinal_material|酸枣仁
Chinese flower pepper|spice|川椒
Lesser galangal|spice|高良姜
Evodia fruits|plant|吴茱萸
Beef|meat|牛肉
lesser galangal|spice|良姜
Lotus seeds|plant|莲子
Euryale fruits|meat|鸡
Euryale fruits|meat|鸡头
sheep’s spine|meat|羊脊骨
Peach seeds|chinese_medicinal_material|桃仁
Juice of sprouting Chinese foxglove|juice|生地黄汁
large garlic|spice|大蒜
grain|chinese_medicinal_material|缩砂
long pepper|chinese_medicinal_material|荜拨
White flour|grain|白面
cattail rhizome [Typha sp]|grain|乳饼
Chinese badger meat|meat|肉
sheep’s stomach and lungs|vegetable|葱
Yellow hen|meat|黄雌鸡
Green-headed duck|meat|青头鸭
Large Chinese radish|vegetable|大萝卜
Pheasant|meat|野鸡
White pigeon|meat|白鹁鸽
Egg yolk|meat|鸡子黄
Mallow leaves|plant|葵菜叶
Large carp|seafood|大鲤鱼
adzuki beans|plant|赤小豆
sheep’s tail|chinese_medicinal_material|陈皮
Purslane|vegetable|马齿菜
Wheat|grain|小麦
Black donkey’s head|meat|乌驴头
black pepper|spice|胡椒
Meat of a black donkey|meat|乌驴肉
Fox meat|meat|狐肉
Bear meat|meat|熊肉
Black hen|meat|乌雌鸡
sheep’s stomach [and attached skin]|meat|羊肚
non-glutinous rice|grain|粳米
spring onions|vegetable|葱白
fruit of Gardenia jasminoides|spice|生姜
Kudzu starch|chinese_medicinal_material|葛根
salted fruits|other|豉
Hemp seeds [Cannabis sativa]|chinese_medicinal_material|冬麻子
white millet grains|grain|白粟米
field mint leaves|plant|薄荷叶
Schizonepeta tenuifolia herb|plant|荆芥穗
Burdock [Arctium lappa] leaves|plant|恶实菜叶
liquid butter|dairy_product|酥油上件
Black donkey’s skin|chinese_medicinal_material|乌驴皮
White sheep’s head|meat|白羊头
Wild pig meat|meat|野猪肉
Otter liver|meat|獭肝
Large bream|seafood|大鲫鱼
Chinese flower pepper|spice|小椒
tsaoko cardamom|spice|草果
two qian|chinese_medicinal_material|新罗参
Sprouting Chinese foxglove|chinese_medicinal_material|生地黄
crystallized honey|other|白沙蜜
sprouting ginger|vegetable|山药
Apricot kernels|chinese_medicinal_material|杏仁
cassia|plant|桂
broomrape|chinese_medicinal_material|肉苁蓉
Chinese flower pepper [Sichuan Pepper]|spice|蜀椒
