Food_Name,Juan
杂羹,JuanDiYiJuZhenYiZhuan_1
荤素羹,JuanDiYiJuZhenYiZhuan_1
珍珠粉,JuanDiYiJuZhenYiZhuan_1
黄汤,JuanDiYiJuZhenYiZhuan_1
三下锅,JuanDiYiJuZhenYiZhuan_1
葵菜羹,JuanDiYiJuZhenYiZhuan_1
瓠子汤,JuanDiYiJuZhenYiZhuan_1
团鱼汤,JuanDiYiJuZhenYiZhuan_1
盏蒸,JuanDiYiJuZhenYiZhuan_1
台苗羹,JuanDiYiJuZhenYiZhuan_1
熊汤,JuanDiYiJuZhenYiZhuan_1
鲤鱼汤,JuanDiYiJuZhenYiZhuan_1
炒野狼汤,JuanDiYiJuZhenYiZhuan_1
围像,JuanDiYiJuZhenYiZhuan_1
春盘面,JuanDiYiJuZhenYiZhuan_1
皂羹面,JuanDiYiJuZhenYiZhuan_1
山药面,JuanDiYiJuZhenYiZhuan_1
挂面,JuanDiYiJuZhenYiZhuan_1
经带面,JuanDiYiJuZhenYiZhuan_1
羊皮面,JuanDiYiJuZhenYiZhuan_1
秃秃麻食,JuanDiYiJuZhenYiZhuan_1
细水滑,JuanDiYiJuZhenYiZhuan_1
水龙子,JuanDiYiJuZhenYiZhuan_1
马乞,JuanDiYiJuZhenYiZhuan_1
搠罗脱因,JuanDiYiJuZhenYiZhuan_1
乞马粥,JuanDiYiJuZhenYiZhuan_1
汤粥,JuanDiYiJuZhenYiZhuan_1
粱米淡粥,JuanDiYiJuZhenYiZhuan_1
河西米汤粥,JuanDiYiJuZhenYiZhuan_1
撒速汤,JuanDiYiJuZhenYiZhuan_1
炙羊心,JuanDiYiJuZhenYiZhuan_1
炙羊腰,JuanDiYiJuZhenYiZhuan_1
攒鸡儿,JuanDiYiJuZhenYiZhuan_1
炒鹌鹑,JuanDiYiJuZhenYiZhuan_1
盘兔,JuanDiYiJuZhenYiZhuan_1
河西肺,JuanDiYiJuZhenYiZhuan_1
姜黄腱子,JuanDiYiJuZhenYiZhuan_1
鼓儿签子,JuanDiYiJuZhenYiZhuan_1
带花羊头,JuanDiYiJuZhenYiZhuan_1
鱼弹儿,JuanDiYiJuZhenYiZhuan_1
芙蓉鸡,JuanDiYiJuZhenYiZhuan_1
派饼儿,JuanDiYiJuZhenYiZhuan_1
盐肠,JuanDiYiJuZhenYiZhuan_1
脑瓦剌,JuanDiYiJuZhenYiZhuan_1
生地黄鸡,JuanDiErShiLiaoZhuBing
羊蜜膏,JuanDiErShiLiaoZhuBing
羊藏羹,JuanDiErShiLiaoZhuBing
羊骨粥,JuanDiErShiLiaoZhuBing
羊脊骨粥,JuanDiErShiLiaoZhuBing
白羊肾羹,JuanDiErShiLiaoZhuBing
猪肾粥,JuanDiErShiLiaoZhuBing
枸杞羊肾粥,JuanDiErShiLiaoZhuBing
